Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Status
asuka-color-blocked-dress-dawn-dr-5004a-dawn,Asuka Color-Blocked Dress - Dawn,<p>Color-blocked sleeveless calf-length dress with pockets in shades of beige and off-white - perfect to wear at home or for a get-together with friends.</p>,SALE IS LIVE ,,Dresses,Copy AI,TRUE,Top Size,XS,,,,,DR-5004A-XS,1000,,100,deny,manual,349,1299,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0678/8415/5132/products/asuka-1.jpg?v=1705822804,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
asuka-color-blocked-dress-dawn-dr-5004a-dawn,,,,,,,,,S,,,,,DR-5004A-S,1000,,100,deny,manual,349,1299,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0678/8415/5132/products/3-1_1_1.jpg?v=1705822804,2,,,,,,,,,,,,,,,,,kg,,,,,,,,,
asuka-color-blocked-dress-dawn-dr-5004a-dawn,,,,,,,,,M,,,,,DR-5004A-M,1000,,100,deny,manual,349,1299,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0678/8415/5132/products/3-2_2.jpg?v=1705822804,3,,,,,,,,,,,,,,,,,kg,,,,,,,,,
asuka-color-blocked-dress-dawn-dr-5004a-dawn,,,,,,,,,L,,,,,DR-5004A-L,1000,,100,deny,manual,349,1299,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0678/8415/5132/products/3-3_2_1.jpg?v=1705822804,4,,,,,,,,,,,,,,,,,kg,,,,,,,,,
asuka-color-blocked-dress-dawn-dr-5004a-dawn,,,,,,,,,XL,,,,,DR-5004A-XL,1000,,100,deny,manual,349,1299,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0678/8415/5132/products/3-4_1.jpg?v=1705822804,5,,,,,,,,,,,,,,,,,kg,,,,,,,,,
asuka-color-blocked-dress-dawn-dr-5004a-dawn,,,,,,,,,XXL,,,,,DR-5004A-XXL,1000,,100,deny,manual,349,1299,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0678/8415/5132/products/asuka-2.jpg?v=1705822804,6,,,,,,,,,,,,,,,,,kg,,,,,,,,,
asuka-color-blocked-dress-dawn-dr-5004a-dawn,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/8415/5132/products/asuka-3.jpg?v=1705822804,7,,,,,,,,,,,,,,,,,,,,,,,,,,
kira-flowing-dress-sun-dr-8806c,Kira Flowing Dress - Sun,"<p>A color-blocked ankle-length wear-it-everywhere dress with a V-back, folded sleeves and pockets designed in our handwoven two toned soft modal cotton. The Kira dress has delicate hand-beaded details at the neckline and sleeves.</p>",SALE IS LIVE ,,Dresses,Copy AI,TRUE,Size,S/M,Add Slip,Without,,,DR-8806C-S/M-Without,1000,,100,deny,manual,349,1299,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0678/8415/5132/products/16_77a242e5-bbb3-46b9-8e15-e15177732ebb.jpg?v=1705822793,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
kira-flowing-dress-sun-dr-8806c,,,,,,,,,S/M,,With + INR 2400,,,DR-8806C-S/M-With + INR 2400,1000,,100,deny,manual,349,1299,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0678/8415/5132/products/11_11fc7d2d-0ea8-4161-a5be-ceb3015c5225.jpg?v=1705822793,2,,,,,,,,,,,,,,,,,kg,,,,,,,,,
kira-flowing-dress-sun-dr-8806c,,,,,,,,,L/XL,,Without,,,DR-8806C-L/XL-Without,1000,,100,deny,manual,349,1299,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0678/8415/5132/products/12_4ec28e85-0361-44c1-a1c1-57c761b99f3f.jpg?v=1705822793,3,,,,,,,,,,,,,,,,,kg,,,,,,,,,
